id,distrito_id,codigo,barrio
3917,335,09,Santa Lucía
3918,335,10,Virginia.
3919,335,11,Cabeceras
3920,335,12,Caimital
3921,335,13,Carreta
3922,335,14,Casitas
3923,335,15,Cerro Verde
3924,335,16,Cerro Redondo
3925,335,17,Cola de Gallo
3926,335,18,Cuesta
3927,335,19,Cuesta Buenos Aires
3928,335,20,Curime
3929,335,21,Chivo
3930,335,22,Dulce Nombre
3931,335,23,Esperanza Norte
3932,335,24,Estrella
3933,335,25,Gamalotal
3934,335,26,Garcimuñóz
3935,335,27,Guaitil
3936,335,28,Guastomatal
3937,335,29,Guineas
3938,335,30,Hondores
3939,335,31,Jobo
3940,335,32,Juan Díaz
3941,335,33,Lajas
3942,335,34,Loma Caucela
3943,335,35,Miramar (noroeste)
3944,335,36,Nambí
3945,335,37,Oriente
3946,335,38,Los Planes
3947,335,39,Pedernal
3948,335,40,Picudas
3949,335,41,Pilahonda
3950,335,42,Pilas
3951,335,43,Pilas Blancas
3952,335,44,Piragua
3953,335,45,Ponedero
3954,335,46,Quirimán
3955,335,47,Quirimancito
3956,335,48,Sabana Grande
3957,335,49,Santa Ana
3958,335,50,Sitio Botija
3959,335,51,Tierra Blanca
3960,335,52,Tres Quebradas
3961,335,53,Varillas (Zapotillo)
3962,335,54,Virginia
3963,335,55,Zompopa.
3964,336,01,Acoyapa
3965,336,02,Boquete
3966,336,03,Camarones
3967,336,04,Guastomatal
3968,336,05,Iguanita
3969,336,06,Lapas
3970,336,07,Limonal
3971,336,08,Matambuguito
3972,336,09,Matina
3973,336,10,Mercedes
3974,336,11,Monte Alto
3975,336,12,Morote Norte
3976,336,13,Nacaome
3977,336,14,Obispo
3978,336,15,Pital
3979,336,16,Polvazales
3980,336,17,Pueblo Viejo
3981,336,18,Puente Guillermina
3982,336,19,Puerto Jesús
3983,336,20,Río Vueltas
3984,336,21,San Joaquín
3985,336,22,San Juan (parte)
3986,336,23,Uvita (parte)
3987,336,24,Vigía
3988,336,25,Yerbabuena (parte)
3989,336,26,Zapandí.
3990,337,01,Guayabal.
3991,337,02,Biscoyol
3992,337,03,Bolsa
3993,337,04,Boquete
3994,337,05,Buenos Aires
3995,337,06,Cañal
3996,337,07,Carao
3997,337,08,Cerro Mesas
3998,337,09,Conchal
3999,337,10,Corral de Piedra
4000,337,11,Corralillo
4001,337,12,Coyolar
4002,337,13,Cuba
4003,337,14,Cuesta Madroño
4004,337,15,Chira
4005,337,16,Flor
4006,337,17,Florida
4007,337,18,Guayabo
4008,337,19,Loma Ayote
4009,337,20,Matamba
4010,337,21,México
4011,337,22,Montañita
4012,337,23,Monte Galán
4013,337,24,Moracia
4014,337,25,Ojo de Agua
4015,337,26,Palos Negros
4016,337,27,Piave
4017,337,28,Piedras Blancas
4018,337,29,Pozas
4019,337,30,Pozo de Agua
4020,337,31,Pueblo Nuevo
4021,337,32,Puerto Humo
4022,337,33,Rosario
4023,337,34,San Lázaro
4024,337,35,San Vicente
4025,337,36,Silencio
4026,337,37,Talolinga
4027,337,38,Tamarindo
4028,337,39,Zapote.
4029,338,01,Tortuguero.
4030,338,02,Botija
4031,338,03,Caballito
4032,338,04,Embarcadero
4033,338,05,Copal
4034,338,06,Loma Bonita
4035,338,07,Millal
4036,338,08,Paraíso
4037,338,09,Paso Guabo
4038,338,10,Pochote
4039,338,11,Puerto Moreno
4040,338,12,Roblar
4041,338,13,San Juan (parte)
4042,338,14,Sombrero
4043,338,15,Sonzapote
4044,338,16,Tres Esquinas.
4045,339,01,Matapalo
4046,339,02,Mala Noche.
4047,339,03,Bajo Escondido
4048,339,04,Barco Quebrado
4049,339,05,Buenavista
4050,339,06,Buenos Aires
4051,339,07,Cambutes
4052,339,08,Cangrejal
4053,339,09,Cantarrana
4054,339,10,Chinampas
4055,339,11,Esterones
4056,339,12,Galilea
4057,339,13,Palmar
4058,339,14,Panamá
4059,339,15,Pavones
4060,339,16,Playa Buenavista
4061,339,17,Primavera
4062,339,18,Pueblo Nuevo
4063,339,19,Samaria
4064,339,20,San Fernando
4065,339,21,Santo Domingo
4066,339,22,Taranta
4067,339,23,Terciopelo
4068,339,24,Torito.
4069,340,01,Ángeles de Garza
4070,340,02,Bijagua
4071,340,03,Cabeceras de Garza
4072,340,04,Coyoles
